OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV1	Indv87	0.916417910447761	Indv87	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv127	0.791388223427058	Indv127	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv117	0.659243220950613	Indv117	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv92	0.655815632709549	Indv92	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv12	0.644751407806709	Indv12	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv35	0.642250008204522	Indv35	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv155	0.591946707399864	Indv155	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv49	0.587223008015087	Indv49	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv79	0.566171905863762	Indv79	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv61	0.557340964120625	Indv61	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv140	0.551393061200448	Indv140	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv57	0.518311645179795	Indv57	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv33	0.513739435644022	Indv33	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv44	0.508434384263002	Indv44	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv11	0.494331342191881	Indv11	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv159	0.480225988700565	Indv159	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv68	0.477923600775718	Indv68	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv47	0.471329994045326	Indv47	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv137	0.467542624745816	Indv137	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv136	0.466771959664682	Indv136	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv39	0.465545015213889	Indv39	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv30	0.461364812114941	Indv30	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv128	0.449244868377987	Indv128	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv143	0.441694630872483	Indv143	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv120	0.441490747980193	Indv120	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv38	0.440371432738587	Indv38	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv75	0.438227492588547	Indv75	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv116	0.437216338880484	Indv116	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv51	0.436634487863554	Indv51	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv158	0.431755699361333	Indv158	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv156	0.429795961295751	Indv156	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv90	0.417975567190227	Indv90	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv22	0.416832881012327	Indv22	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv32	0.413358846564614	Indv32	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv63	0.408113926146713	Indv63	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV17	Indv138	0.406758583400919	Indv138	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia
ASV1	Indv141	0.392958412098299	Indv141	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv76	0.391072173550271	Indv76	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv55	0.389637069162292	Indv55	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv20	0.385661205877386	Indv20	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv138	0.385347391186807	Indv138	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv28	0.383467278989667	Indv28	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv130	0.378127188236043	Indv130	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv84	0.377022359570987	Indv84	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv151	0.37592602907592	Indv151	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv4	0.375642177115143	Indv4	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv46	0.37375162218586	Indv46	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv97	0.367730125523013	Indv97	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv52	0.366602378656381	Indv52	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv93	0.363877822045153	Indv93	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv89	0.360613496932515	Indv89	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv113	0.356621057513915	Indv113	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv60	0.355125048594013	Indv60	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv112	0.354059009834973	Indv112	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv13	0.352977346278317	Indv13	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv73	0.35235721872702	Indv73	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv71	0.352255870328159	Indv71	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv86	0.35160036679621	Indv86	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv69	0.349072649226533	Indv69	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv100	0.348960636886333	Indv100	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv28	0.348286042315893	Indv28	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv16	0.346798975672215	Indv16	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv53	0.341110119289134	Indv53	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv2	0.329720066940514	Indv2	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv109	0.329574577139928	Indv109	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv70	0.329275593693873	Indv70	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv131	0.329213950448577	Indv131	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv50	0.327224290666324	Indv50	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv45	0.326324740076528	Indv45	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv91	0.32461366181411	Indv91	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv81	0.323727050355667	Indv81	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv133	0.322103732428502	Indv133	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV17	Indv4	0.320495778695886	Indv4	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia
ASV1	Indv104	0.320134003350084	Indv104	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv94	0.319883487728011	Indv94	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv147	0.318803487163081	Indv147	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv40	0.317797505812725	Indv40	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv106	0.317441860465116	Indv106	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv114	0.310438642546895	Indv114	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv160	0.310224367054417	Indv160	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv115	0.309756982227058	Indv115	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv58	0.308784512668008	Indv58	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv116	0.307885317884949	Indv116	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv85	0.302944294361044	Indv85	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv23	0.298904702106879	Indv23	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv99	0.295697726259474	Indv99	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv105	0.29374010169209	Indv105	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv59	0.291762497066416	Indv59	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv95	0.291231343283582	Indv95	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV1	Indv161	0.291147393166522	Indv161	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv62	0.288848263254113	Indv62	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv67	0.288174908696081	Indv67	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv68	0.286880440174988	Indv68	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv126	0.286872281534203	Indv126	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv17	0.286607085033353	Indv17	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv3	0.286264962467032	Indv3	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv144	0.286008230452675	Indv144	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv72	0.285052574635697	Indv72	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv111	0.283508338480544	Indv111	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv101	0.282031443426591	Indv101	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv121	0.279901521933751	Indv121	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv19	0.27982781653555	Indv19	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv52	0.279251044680167	Indv52	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV1	Indv96	0.278743024498358	Indv96	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv36	0.275813452022227	Indv36	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv109	0.274218349564326	Indv109	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv6	0.273904885617378	Indv6	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv102	0.273595395382301	Indv102	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv93	0.271485486624929	Indv93	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv139	0.271248568155785	Indv139	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv95	0.270988805970149	Indv95	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV13	Indv23	0.270929259104228	Indv23	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv9	0.270640503517216	Indv9	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv146	0.270263915829072	Indv146	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv160	0.269276479273958	Indv160	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv95	0.268283582089552	Indv95	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV9	Indv46	0.267900468318005	Indv46	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV1	Indv56	0.26761469660897	Indv56	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv24	0.267561983471074	Indv24	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv34	0.267331600758587	Indv34	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv108	0.266118107470774	Indv108	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv37	0.265076928836147	Indv37	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv74	0.264960586210725	Indv74	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV13	Indv1	0.264931022880215	Indv1	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv7	0.26376933038775	Indv7	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv125	0.26369168356998	Indv125	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv77	0.263641853315766	Indv77	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv48	0.263466287197087	Indv48	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv142	0.263354597590051	Indv142	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV46	Indv12	0.261539202002214	Indv12	Case	Site1	Bacteria	Actinobacteria	Actinobacteria
ASV1	Indv21	0.261514841351075	Indv21	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv33	0.260841453840115	Indv33	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV1	Indv1	0.260472745625841	Indv1	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv147	0.259537710949372	Indv147	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv64	0.257737737737738	Indv64	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV9	Indv148	0.257298731937482	Indv148	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV3	Indv126	0.256952682219586	Indv126	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv54	0.256907825353301	Indv54	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv140	0.256287918949167	Indv140	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv81	0.255883262574859	Indv81	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv37	0.255867929472541	Indv37	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV1	Indv48	0.250449922571464	Indv48	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv21	0.24816227784498	Indv21	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv27	0.247735059002665	Indv27	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv113	0.246869202226345	Indv113	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv36	0.246454537915019	Indv36	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV9	Indv45	0.245352297762146	Indv45	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV4	Indv158	0.24434293448378	Indv158	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV1	Indv122	0.244014888757296	Indv122	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV9	Indv43	0.243674324743868	Indv43	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV3	Indv131	0.242469253163805	Indv131	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv119	0.24245191791125	Indv119	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV19	Indv153	0.242201294879341	Indv153	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV13	Indv21	0.241230110728575	Indv21	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv6	0.239301436097279	Indv6	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv29	0.239275310267768	Indv29	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV46	Indv117	0.238890607279101	Indv117	Case	Site1	Bacteria	Actinobacteria	Actinobacteria
ASV3	Indv104	0.236716917922948	Indv104	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV9	Indv75	0.23632391948822	Indv75	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV19	Indv150	0.235806189314584	Indv150	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV1	Indv42	0.235643108115892	Indv42	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV19	Indv56	0.235313042918731	Indv56	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV13	Indv29	0.235284728041821	Indv29	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV3	Indv16	0.234699103713188	Indv16	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv31	0.234157343121213	Indv31	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv59	0.233794883830087	Indv59	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV13	Indv144	0.2328995662329	Indv144	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv25	0.232711465314255	Indv25	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv145	0.232155539772727	Indv145	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv41	0.231746298788694	Indv41	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV19	Indv98	0.23092594072062	Indv98	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV3	Indv83	0.229693383539537	Indv83	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv29	0.229338760525161	Indv29	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv154	0.228868742279266	Indv154	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv45	0.228809956325127	Indv45	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv3	0.228809089064719	Indv3	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV1	Indv83	0.228332753219631	Indv83	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv43	0.228151195280969	Indv43	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv153	0.228148911124191	Indv153	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv80	0.227158970139532	Indv80	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv149	0.227061152426301	Indv149	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv65	0.226178756916392	Indv65	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv155	0.225347929395791	Indv155	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv9	0.223867703319758	Indv9	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv84	0.223377567714961	Indv84	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV19	Indv78	0.22321315221531	Indv78	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia
ASV1	Indv41	0.223040040376851	Indv41	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV13	Indv93	0.222680705748435	Indv93	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV4	Indv151	0.222024174232719	Indv151	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv79	0.221175009876404	Indv79	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv148	0.220362724859923	Indv148	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv22	0.220318477585587	Indv22	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv3	0.219638871982146	Indv3	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv110	0.218099755201958	Indv110	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv24	0.217827626918536	Indv24	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv123	0.217679907280582	Indv123	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv8	0.216894212245582	Indv8	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV9	Indv129	0.216798134643052	Indv129	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria
ASV1	Indv103	0.216638229667546	Indv103	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv148	0.215939250958419	Indv148	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv26	0.215566275469796	Indv26	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV3	Indv73	0.214682572105564	Indv73	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv65	0.214331783156251	Indv65	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV13	Indv66	0.212783296567422	Indv66	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV4	Indv128	0.212746060691074	Indv128	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV13	Indv106	0.212136627906977	Indv106	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV3	Indv61	0.211369139335241	Indv61	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV19	Indv96	0.211263703645071	Indv96	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV1	Indv107	0.210648285697308	Indv107	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV1	Indv118	0.210234129857591	Indv118	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV3	Indv71	0.210065487173921	Indv71	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv69	0.209605572203774	Indv69	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV13	Indv14	0.20960413549177	Indv14	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV3	Indv77	0.20959595959596	Indv77	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv144	0.209431653876098	Indv144	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV19	Indv145	0.209206321022727	Indv145	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia
ASV17	Indv51	0.208185547296672	Indv51	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia
ASV19	Indv139	0.208132875143184	Indv139	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV19	Indv154	0.207868344465149	Indv154	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV13	Indv81	0.206708465712599	Indv81	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv9	0.206507877740754	Indv9	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV3	Indv10	0.20629401800838	Indv10	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV13	Indv82	0.204729771559463	Indv82	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV9	Indv125	0.204424442190669	Indv125	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria
ASV19	Indv25	0.203694982792972	Indv25	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV3	Indv149	0.203413407522337	Indv149	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv146	0.203256333392112	Indv146	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv80	0.202338098666392	Indv80	Case	Site1	Bacteria	Firmicutes	Bacilli
ASV13	Indv8	0.200938102018595	Indv8	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv157	0.200489901557517	Indv157	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV4	Indv112	0.19986664444074	Indv112	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV4	Indv38	0.199718022266518	Indv38	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV19	Indv66	0.199519467198719	Indv66	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia
ASV13	Indv134	0.199257947550384	Indv134	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV19	Indv18	0.198990416270393	Indv18	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV3	Indv13	0.198770226537217	Indv13	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV4	Indv150	0.198306787200459	Indv150	Control	Site1	Bacteria	Firmicutes	Negativicutes
ASV4	Indv82	0.198291339070142	Indv82	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv133	0.198254968492487	Indv133	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV1	Indv78	0.197981465024756	Indv78	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV13	Indv18	0.197819884409979	Indv18	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv86	0.197502292476311	Indv86	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV4	Indv20	0.197179530484715	Indv20	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv5	0.196648574136297	Indv5	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV1	Indv139	0.196506300114548	Indv139	Control	Site1	Bacteria	Firmicutes	Bacilli
ASV19	Indv58	0.19507857371935	Indv58	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV9	Indv157	0.194943846189398	Indv157	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria
ASV4	Indv6	0.194703038175651	Indv6	Case	Site2	Bacteria	Firmicutes	Negativicutes
ASV3	Indv132	0.194607312245584	Indv132	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv85	0.194473891187635	Indv85	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv23	0.194363052881261	Indv23	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV13	Indv125	0.194155679513185	Indv125	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV4	Indv133	0.193650024236549	Indv133	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV13	Indv122	0.193511547246426	Indv122	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv32	0.193173727305091	Indv32	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV46	Indv153	0.192539729252501	Indv153	Case	Site1	Bacteria	Actinobacteria	Actinobacteria
ASV1	Indv65	0.192199327879426	Indv65	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV1	Indv5	0.192039286637374	Indv5	Control	Site2	Bacteria	Firmicutes	Bacilli
ASV13	Indv30	0.1918826129897	Indv30	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia
ASV3	Indv157	0.191385127328188	Indv157	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV3	Indv55	0.191166400365213	Indv55	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV13	Indv20	0.190972808647188	Indv20	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv24	0.190783648170012	Indv24	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv90	0.190534852684529	Indv90	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV4	Indv134	0.190361750569188	Indv134	Control	Site2	Bacteria	Firmicutes	Negativicutes
ASV1	Indv129	0.189661159894826	Indv129	Case	Site2	Bacteria	Firmicutes	Bacilli
ASV4	Indv53	0.189523654954151	Indv53	Case	Site1	Bacteria	Firmicutes	Negativicutes
ASV3	Indv8	0.189044308568557	Indv8	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria
ASV19	Indv101	0.18869150779896	Indv101	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia
ASV13	Indv124	0.188341048552051	Indv124	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv88	0.188051362477945	Indv88	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV13	Indv39	0.188025774118489	Indv39	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia
ASV19	Indv149	0.187362901931411	Indv149	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia
